timestamp,uptime_ms,tc_temp,ref_temp,stage_name,event
2026-03-26T10:06:29.650,9500,34.84,25.0168,,
2026-03-26T10:06:30.151,10000,35.34,25.1117,,
2026-03-26T10:06:30.651,10500,36.07,24.9021,,
2026-03-26T10:06:31.150,11000,36.49,24.967,,
2026-03-26T10:06:31.650,11500,37.07,25.112,,
2026-03-26T10:06:32.151,12000,37.69,24.9461,,
2026-03-26T10:06:32.659,12500,38.09,24.8425,,
2026-03-26T10:06:33.159,13000,38.77,24.9286,,
2026-03-26T10:06:33.659,13500,39.28,24.9905,,
2026-03-26T10:06:34.159,14000,39.85,25.0027,,
2026-03-26T10:06:34.660,14500,40.18,25.0666,,
2026-03-26T10:06:35.160,15000,40.69,25.1369,,
2026-03-26T10:06:35.660,15500,41.43,25.0737,,
2026-03-26T10:06:36.160,16000,42.19,24.9199,,
2026-03-26T10:06:36.660,16500,42.52,25.1153,,
2026-03-26T10:06:37.160,17000,43.16,25.0887,,
2026-03-26T10:06:37.660,17500,43.74,25.0283,,
2026-03-26T10:06:38.160,18000,44.34,24.8568,,
2026-03-26T10:06:38.660,18500,44.92,24.8797,,
2026-03-26T10:06:39.160,19000,45.48,24.9941,,
2026-03-26T10:06:39.660,19500,46.03,24.8406,,
2026-03-26T10:06:40.160,20000,46.67,25.0311,,
2026-03-26T10:06:40.660,20500,47.28,24.9692,,
2026-03-26T10:06:41.161,21000,47.82,24.9983,,
2026-03-26T10:06:41.670,21500,48.31,25.0345,,
2026-03-26T10:06:42.169,22000,48.69,25.0681,,
2026-03-26T10:06:42.669,22500,49.25,25.1393,,
2026-03-26T10:06:43.170,23000,49.6,24.7929,,
2026-03-26T10:06:43.670,23500,49.79,24.9342,,
2026-03-26T10:06:44.170,24000,50.4,24.9604,,
2026-03-26T10:06:44.669,24500,50.7,24.901,,
2026-03-26T10:06:45.170,25000,51.2,25.0727,,
2026-03-26T10:06:45.670,25500,51.91,24.9304,,
2026-03-26T10:06:46.170,26000,52.45,25.0261,,
2026-03-26T10:06:46.669,26500,52.99,25.0496,,
2026-03-26T10:06:47.169,27000,53.48,24.8505,,
2026-03-26T10:06:47.670,27500,54.03,25.0479,,
2026-03-26T10:06:48.178,28000,54.46,25.0078,,
2026-03-26T10:06:48.678,28500,55.08,25.1404,,
2026-03-26T10:06:49.178,29000,55.44,24.9652,,
2026-03-26T10:06:49.678,29500,55.85,25.1491,,
2026-03-26T10:06:50.178,30000,56.73,24.9598,,
2026-03-26T10:06:50.678,30500,57.09,25.0183,,
2026-03-26T10:06:51.178,31000,57.57,24.8608,,
2026-03-26T10:06:51.679,31500,57.97,24.7591,,
2026-03-26T10:06:52.178,32000,58.68,24.8925,,
2026-03-26T10:06:52.679,32500,59.32,25.0251,,
2026-03-26T10:06:53.179,33000,59.79,25.1499,,
2026-03-26T10:06:53.679,33500,60.53,25.0293,,
2026-03-26T10:06:54.179,34000,61.23,25.0991,,
2026-03-26T10:06:54.679,34500,61.78,24.9788,,
2026-03-26T10:06:55.179,35000,62.19,24.8146,,
2026-03-26T10:06:55.679,35500,62.75,24.8281,,
2026-03-26T10:06:56.179,36000,63.25,25.1493,,
2026-03-26T10:06:56.688,36500,63.71,25.1425,,
2026-03-26T10:06:57.188,37000,64.53,25.0271,,
2026-03-26T10:06:57.688,37500,64.74,24.6716,,
2026-03-26T10:06:58.188,38000,65.32,24.8544,,
2026-03-26T10:06:58.688,38500,65.59,24.9015,,
2026-03-26T10:06:59.188,39000,66.14,24.9305,,
2026-03-26T10:06:59.688,39500,66.63,25.0256,,
2026-03-26T10:07:00.188,40000,67.08,24.9805,,
2026-03-26T10:07:00.688,40500,67.46,25.0687,,
2026-03-26T10:07:01.188,41000,68.0,25.0772,,
2026-03-26T10:07:01.688,41500,68.66,24.9589,,
2026-03-26T10:07:02.188,42000,69.19,25.0562,,
2026-03-26T10:07:02.688,42500,69.68,25.319,,
2026-03-26T10:07:03.188,43000,70.4,25.1949,,
2026-03-26T10:07:03.689,43500,70.94,25.0378,,
2026-03-26T10:07:04.197,44000,71.59,24.7298,,
2026-03-26T10:07:04.697,44500,72.0,24.9947,,
2026-03-26T10:07:05.197,45000,72.31,25.131,,
2026-03-26T10:07:05.697,45500,72.77,25.2597,,
2026-03-26T10:07:06.197,46000,73.32,24.8065,,
2026-03-26T10:07:06.697,46500,73.6,25.179,,
2026-03-26T10:07:07.197,47000,73.97,24.9956,,
2026-03-26T10:07:07.698,47500,74.16,25.0457,,
2026-03-26T10:07:08.198,48000,74.43,24.9294,,
2026-03-26T10:07:08.698,48500,75.09,24.9423,,
2026-03-26T10:07:09.198,49000,75.11,24.9657,,
2026-03-26T10:07:09.698,49500,75.56,24.9358,,
2026-03-26T10:07:10.198,50000,75.8,24.7379,,
2026-03-26T10:07:10.698,50500,76.19,25.0418,,
2026-03-26T10:07:11.198,51000,76.57,25.0703,,
2026-03-26T10:07:11.698,51500,76.99,24.9444,,
2026-03-26T10:07:12.198,52000,77.38,25.1792,,
2026-03-26T10:07:12.706,52500,77.78,25.0141,,
2026-03-26T10:07:13.207,53000,77.98,25.1109,,
2026-03-26T10:07:13.707,53500,78.54,24.887,,
2026-03-26T10:07:14.207,54000,78.99,24.9314,,
2026-03-26T10:07:14.707,54500,79.6,25.0231,,
2026-03-26T10:07:15.207,55000,80.04,24.8717,,
2026-03-26T10:07:15.708,55500,80.47,24.9449,,
2026-03-26T10:07:16.207,56000,80.54,25.0354,,
2026-03-26T10:07:16.707,56500,80.54,25.0486,,
2026-03-26T10:07:17.207,57000,80.44,24.9682,,
2026-03-26T10:07:17.707,57500,80.59,25.1428,,
2026-03-26T10:07:18.207,58000,80.74,24.9069,,
2026-03-26T10:07:18.708,58500,80.75,25.0769,,
2026-03-26T10:07:19.208,59000,80.89,24.9359,,
2026-03-26T10:07:19.707,59500,81.16,24.9884,,
2026-03-26T10:07:20.208,60000,81.48,25.0572,,
2026-03-26T10:07:20.716,60500,81.72,24.9258,,
2026-03-26T10:07:21.216,61000,82.17,24.9079,,
2026-03-26T10:07:21.716,61500,82.48,24.9505,,
2026-03-26T10:07:22.216,62000,82.8,25.0224,,
2026-03-26T10:07:22.716,62500,83.09,25.0011,,
2026-03-26T10:07:23.217,63000,83.15,24.9958,,
2026-03-26T10:07:23.717,63500,83.48,25.1138,,
2026-03-26T10:07:24.217,64000,83.69,25.0306,,
2026-03-26T10:07:24.717,64500,84.04,25.0296,,
2026-03-26T10:07:25.217,65000,83.89,25.0264,,
2026-03-26T10:07:25.717,65500,84.04,24.8933,,
2026-03-26T10:07:26.217,66000,84.08,25.1,,
2026-03-26T10:07:26.717,66500,83.95,24.9881,,
2026-03-26T10:07:27.217,67000,84.19,24.9518,,
2026-03-26T10:07:27.726,67500,84.47,25.0218,,
2026-03-26T10:07:28.226,68000,84.66,24.8095,,
2026-03-26T10:07:28.726,68500,84.69,25.1159,,
2026-03-26T10:07:29.226,69000,84.77,25.0561,,
2026-03-26T10:07:29.726,69500,84.74,24.9436,,
2026-03-26T10:07:30.226,70000,85.14,25.0418,,
2026-03-26T10:07:30.726,70500,85.16,25.1799,,
2026-03-26T10:07:31.226,71000,85.33,25.0283,,
2026-03-26T10:07:31.726,71500,85.49,24.8774,,
2026-03-26T10:07:32.226,72000,85.66,24.9408,,
2026-03-26T10:07:32.726,72500,85.82,24.9674,,
2026-03-26T10:07:33.227,73000,85.91,25.019,,
2026-03-26T10:07:33.726,73500,86.31,25.0913,,
2026-03-26T10:07:34.227,74000,86.31,24.9042,,
2026-03-26T10:07:34.727,74500,86.54,25.0118,,
2026-03-26T10:07:35.227,75000,86.27,25.0787,,
2026-03-26T10:07:35.735,75500,86.33,25.0446,,
2026-03-26T10:07:36.235,76000,86.46,25.1102,,
2026-03-26T10:07:36.735,76500,86.81,25.0398,,
2026-03-26T10:07:37.235,77000,86.95,24.8513,,
2026-03-26T10:07:37.735,77500,86.97,24.9564,,
2026-03-26T10:07:38.235,78000,87.09,25.0041,,
2026-03-26T10:07:38.736,78500,87.19,25.0037,,
2026-03-26T10:07:39.236,79000,87.22,24.981,,
2026-03-26T10:07:39.736,79500,87.21,25.1733,,
2026-03-26T10:07:40.236,80000,87.42,24.9856,,
2026-03-26T10:07:40.736,80500,87.39,24.9571,,
2026-03-26T10:07:41.236,81000,87.45,25.1022,,
2026-03-26T10:07:41.736,81500,88.02,24.869,,
2026-03-26T10:07:42.236,82000,88.09,25.041,,
2026-03-26T10:07:42.736,82500,87.86,24.8652,,
2026-03-26T10:07:43.236,83000,87.77,25.1976,,
2026-03-26T10:07:43.736,83500,87.6,24.8106,,
2026-03-26T10:07:44.236,84000,87.73,24.9782,,
2026-03-26T10:07:44.736,84500,87.81,24.9243,,
2026-03-26T10:07:45.236,85000,88.02,24.9906,,
2026-03-26T10:07:45.745,85500,88.19,25.0472,,
2026-03-26T10:07:46.245,86000,88.23,25.1163,,
2026-03-26T10:07:46.745,86500,88.34,24.9598,,
2026-03-26T10:07:47.245,87000,88.43,25.0694,,
2026-03-26T10:07:47.745,87500,88.56,25.137,,
2026-03-26T10:07:48.245,88000,88.6,24.8751,,
2026-03-26T10:07:48.745,88500,88.72,25.1049,,
2026-03-26T10:07:49.245,89000,88.78,24.9864,,
2026-03-26T10:07:49.746,89500,88.96,24.8492,,
2026-03-26T10:07:50.246,90000,88.91,24.8831,,
2026-03-26T10:07:50.746,90500,88.81,24.9127,,
2026-03-26T10:07:51.246,91000,88.6,24.9889,,
2026-03-26T10:07:51.746,91500,88.87,25.1045,,
2026-03-26T10:07:52.246,92000,88.91,24.9969,,
2026-03-26T10:07:52.746,92500,89.09,25.016,,
2026-03-26T10:07:53.246,93000,89.07,25.0255,,
2026-03-26T10:07:53.746,93500,89.06,25.0686,,
2026-03-26T10:07:54.254,94000,89.07,25.0014,,
2026-03-26T10:07:54.755,94500,89.15,25.1477,,
2026-03-26T10:07:55.255,95000,89.42,25.036,,
2026-03-26T10:07:55.755,95500,89.77,25.0016,,
2026-03-26T10:07:56.255,96000,90.07,24.9988,,
2026-03-26T10:07:56.755,96500,89.49,24.9993,,
2026-03-26T10:07:57.255,97000,89.7,25.0233,,
2026-03-26T10:07:57.755,97500,90.51,24.9447,,
2026-03-26T10:07:58.255,98000,89.21,25.0774,,
2026-03-26T10:07:58.755,98500,89.82,24.9129,,
